ID,Language,Dataset,Modality,Use,Features,Source Paper,Dataset Access,Cited By
758,Burmese,Basic Travel Expression Corpus (BTEC),Speech,Speech Recognition/Understanding,"The Basic Travel Expression Corpus (BTEC) is used to construct foundational travel-related expressions for the Myanmar language, specifically for the PBC. It is employed to train and evaluate neural network-based TTS systems and ASR models for Burmese, focusing on phonetic balance, coverage, and accuracy in speech recognition and synthesis.",https://doi.org/10.21437/Eurospeech.2003-150 (2003),,https://www.semanticscholar.org/paper/fdb63df962f8411726d277480699564321a2648d (2020)
759,Burmese,high-quality in-house Burmese speech dataset,Speech,Speech Synthesis,"The high-quality in-house Burmese speech dataset is used to develop the first statistical parametric Burmese text-to-speech (TTS) system based on Hidden Markov Models (HMMs). This dataset focuses on enhancing the quality of speech synthesis, enabling researchers to improve the naturalness and intelligibility of synthesized Burmese speech. The dataset's high quality and in-house nature provide essential acoustic data for training and refining HMM-based TTS models.",https://doi.org/10.21437/Interspeech.2015-132 (2015),https://www.openslr.org/80/,https://www.semanticscholar.org/paper/fdb63df962f8411726d277480699564321a2648d (2020)
760,Burmese,in-house diphone database,Speech,Speech Recognition/Understanding,"The in-house diphone database is used to develop diphone-based concatenative synthesis systems for Burmese TTS applications, focusing on enhancing speech synthesis quality and naturalness through phonetic units and concatenation techniques. It also serves as a speech corpus for training and evaluating automatic speech recognition (ASR) models in Burmese, facilitating advancements in both TTS and ASR technologies.",https://www.semanticscholar.org/paper/901b36e56d80f2e36eab150d85d631450b23785e (2013),,https://www.semanticscholar.org/paper/fdb63df962f8411726d277480699564321a2648d (2020)
761,Burmese,Myanmar Language Commission (MLC),Text,Script Analysis and Normalization,"The Myanmar Language Commission (MLC) dataset is used to obtain standard graphemes for Burmese language processing. Researchers focus on linguistic data for script analysis and normalization, employing the dataset to ensure consistency and accuracy in representing Burmese script. This enables precise linguistic analysis and supports the development of computational tools for Burmese language processing.",,https://en.wikipedia.org/wiki/Myanmar%E2%80%93English_Dictionary,https://www.semanticscholar.org/paper/fdb63df962f8411726d277480699564321a2648d (2020)
762,Burmese,myNER corpus,Text,Named Entity Recognition,"The myNER corpus is used for named entity recognition (NER) experiments, focusing on evaluating the performance of NER models on Burmese language data. This dataset enables researchers to test and refine NER algorithms, addressing specific challenges in identifying and classifying named entities within the Burmese language.",https://doi.org/10.1016/j.heliyon.2022.e10375 (2022),https://github.com/ye-kyaw-thu/myNER,https://doi.org/10.1109/ICCI64209.2025.10987237 (2025)
763,Burmese,myPOS,Text,Parsing and Tagging,"The 'myPOS' dataset is used to train and evaluate a Myanmar POS tagger, specifically extending the existing corpus with a standardized set of 15 POS tags. This dataset enables researchers to develop and refine POS tagging models for the Burmese language, enhancing the accuracy and robustness of natural language processing tools in this linguistic domain.",,https://github.com/ye-kyaw-thu/myPOS,https://doi.org/10.1016/j.heliyon.2022.e10375 (2022)
764,Burmese,speech corpus for Myanmar language,Speech,Not specified,"The 'speech corpus for Myanmar language' dataset is mentioned in research citations but lacks detailed descriptions of its usage. There is no explicit information on specific methodologies, research questions, or characteristics of the dataset. Therefore, based on the provided evidence, it cannot be accurately described how this dataset is used in research.",https://doi.org/10.1109/ICSDA.2017.8384451 (2017),,https://doi.org/10.11591/ijece.v9i4.pp3194-3202 (2019)
765,Burmese,UCSY-SC1,Speech,Speech Recognition/Understanding,"The UCSY-SC1 dataset is used for automatic speech recognition (ASR) in Burmese, serving as a speech corpus to train and evaluate ASR models. This dataset enables researchers to develop and refine ASR systems specifically tailored for the Burmese language, enhancing accuracy and performance in speech-to-text applications.",https://doi.org/10.11591/ijece.v9i4.pp3194-3202 (2019),,https://www.semanticscholar.org/paper/fdb63df962f8411726d277480699564321a2648d (2020)
766,Burmese,Wikipedia Burmese data,Text,Word Embedding,"The Wikipedia Burmese data dataset is used to train fastText embeddings, specifically focusing on subword information to enhance word vectors in the Burmese language. This methodology leverages the dataset's rich textual content to improve the representation of Burmese words, enabling more nuanced and contextually accurate natural language processing tasks.",https://doi.org/10.1162/tacl_a_00051 (2016),https://www.kaggle.com/datasets/myominhtet/burmese-wikipedia-articles144k,https://doi.org/10.1109/ICCI64209.2025.10987237 (2025)
770,Cameroon Pidgin,Spoken Corpus of Cameroon Pidgin English,Speech,Linguistic Analysis,"The 'Spoken Corpus of Cameroon Pidgin English' is used to analyze the grammatical structure and linguistic features of spoken Cameroon Pidgin English. Researchers focus on syntactic patterns, morphological features, and usage patterns in natural speech. This dataset enables detailed linguistic analysis by providing authentic spoken data, facilitating a deeper understanding of the language's structure and usage.",,https://sussex.figshare.com/articles/online_resource/A_spoken_corpus_of_Cameroon_Pidgin_English_pilot_study/23436653?file=41148716,https://doi.org/10.1163/19552629-01201003 (2019)
818,Cebuano,Bible in Cebuano,Text,Translation and Textual Analysis,"The 'Bible in Cebuano' dataset is used to study linguistic aspects of the Cebuano language, particularly through the translation and textual analysis of biblical passages. Researchers employ this dataset to examine the nuances and complexities of Cebuano translations, focusing on how religious texts are rendered in the language. This analysis helps in understanding the linguistic and cultural adaptations in Cebuano biblical translations.",https://doi.org/10.1007/s10579-014-9287-y (2014),https://github.com/Jaden-J/OfflineBible-Data,https://doi.org/10.1145/3342827.3342833 (2019)
820,Central Kurdish,"15,000 text documents",Text,Sentiment Analysis,"The dataset of 15,000 text documents is used to develop sentiment analyzers for Kurdish, specifically focusing on social network texts. Researchers employ a naive Bayes classifier with a bag-of-words approach, using 8000 positive and 7000 negative reviews to train the model. This enables the analysis of sentiment in Kurdish online communications, enhancing understanding of public opinion and social dynamics.",https://doi.org/10.21928/juhd.v1n4y2015.pp393-397 (2015),,https://doi.org/10.48550/arXiv.2304.04703 (2023)
821,Central Kurdish,An extensive dataset of handwritten central Kurdish isolated characters,Handwriting,Character Recognition,"The dataset of handwritten central Kurdish isolated characters is used to develop and evaluate deep learning models for character recognition. It focuses on enhancing e-government services through automation, specifically by improving the accuracy and efficiency of processing handwritten documents. The dataset's extensive coverage of isolated characters supports robust model training and evaluation.",https://doi.org/10.1016/j.dib.2021.107479 (2021),,https://doi.org/10.11591/ijeecs.v35.i3.pp1865-1875 (2024)
822,Central Kurdish,annotated corpus for abstractive Kurdish text summarization,Text,Summarization,"The annotated corpus for abstractive Kurdish text summarization is used to develop and evaluate models that generate concise summaries from longer texts in the Kurdish language. This dataset enables researchers to focus on improving the accuracy and coherence of abstractive summarization techniques, specifically tailored for the linguistic nuances of Kurdish.",,,https://doi.org/10.48550/arXiv.2504.14630 (2025)
823,Central Kurdish,AsoSoft corpus,Text,Parsing and Tagging,"The AsoSoft corpus is used for Central Kurdish language research, particularly in evaluating linguistic rules and processing. It contains 188M words from news, books, and magazines, enabling the assessment of rule consistency, word selection, and context extraction. The dataset supports experiments in language processing, morphological analysis, and the identification of standard and nonstandard forms through tagging and frequency analysis.; The AsoSoft corpus is used in research to analyze and process the Central Kurdish language, focusing on identifying standard and nonstandard forms, and evaluating language models. It contains 188M tokens from various sources, enabling training and evaluation of NLP tasks like tokenization, part-of-speech tagging, and parsing. The corpus supports linguistic experiments, morphological analysis, and the development of text corpora, addressing specific challenges in Central Kurdish language processing.",https://doi.org/10.1093/LLC/FQY074 (2019),https://asosoft.github.io/resources/TextCorpus.html,https://doi.org/10.1007/s42803-022-00062-7 (2021)
